Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.tddui.json	62139	-	0	0	0	0	0	0	23	90	0	0	0	0	1	0	0	2	0	0	33	329	1157	0	0	0	0	9	0	2
fsh-generated/resources/Bundle-tddui-bundle-example.json	31287	12	61	0	3	0	0	0	3	1281	0	0	0	0	0	0	0	0	0	0	31	125	227	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-tddui-pp-ime-bundle-example.json	10604	6	12	0	0	0	0	0	1	26	0	0	0	0	0	0	0	1	0	0	18	49	97	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-tddui-pp-pa-bundle-example.json	196193	13	61	0	0	0	0	0	2	2325	0	0	0	0	0	0	0	0	0	0	20	399	325	0	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-TDDUIConsommateur.json	7398	3	0	0	1	0	0	0	1	28	0	0	0	0	0	0	0	1	0	0	11	99	76	0	0	1	0	3	0	0
fsh-generated/resources/CapabilityStatement-TDDUIProducteur.json	7416	3	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	10	96	56	0	0	0	0	2	0	0
fsh-generated/resources/CarePlan-tddui-pp-ime-careplan-example.json	1078	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	11	27	0	0	0	0	0	0	0
fsh-generated/resources/CarePlan-tddui-pp-pa-careplan-example.json	1338	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	11	29	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-discriminator.json	1345	2	0	0	0	0	0	0	1	6	0	0	1	0	1	0	0	0	0	0	14	19	119	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-encounter-identifier.json	748	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	12	85	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-goal-identifier.json	635	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	13	10	77	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-identifier.json	617	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	10	71	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tddui-observation-identifier.json	656	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	10	70	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-observation-periode-scolaire.json	857	2	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	7	12	64	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-observation-type.json	802	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	12	64	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-slot-identifier.json	632	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	10	58	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-task-input-action.json	1181	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	8	14	65	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-task-input-bilan.json	1226	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	16	70	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tddui-task-input-moyen-ressource.json	1007	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	16	61	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-task-input-prestation.json	1030	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	9	16	62	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-task-input-transport.json	1866	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	19	104	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-tddui-task-output-bilan.json	743	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	8	14	61	0	0	0	0	1	0	0
fsh-generated/resources/Consent-tddui-pp-ime-consent-accord-example.json	793	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	7	10	26	0	0	0	0	0	0	0
